id,unique_key,content_ref,read_time,image,topics,updated_at,author,status,related_ids,title_en,title_jp,title_cn,title_tw,title_kr,summary_en,summary_jp,category_id
1,complete-beginners-guide,beginner-guide.md,10 min,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?q=80&w=800&auto=format&fit=crop,Basics|Currency|Gacha,2024-01-15,WikiTeam,published,v-stone-economy-guide|team-building-fundamentals,Complete Beginner's Guide,完全初心者ガイド,新手完全指南,新手完全指南,완전 초보자 가이드,Everything you need to know to start your vacation on Venus Island,ヴィーナス島でのバカンスを始めるために知っておくべきことすべて,beginner
2,v-stone-economy-guide,economy-guide.md,15 min,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?q=80&w=800&auto=format&fit=crop,Economy|V-Stones|Farming,2024-01-16,WikiTeam,published,complete-beginners-guide|gacha-pull-strategy,V-Stone Economy Guide,Vストーン経済ガイド,V-Stone经济指南,V-Stone經濟指南,V-스톤 경제 가이드,Maximize your V-Stone income and spending efficiency,Vストーンの収入と支出効率を最大化する,economy
3,team-building-fundamentals,team-building.md,20 min,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?q=80&w=800&auto=format&fit=crop,Strategy|Teams|Stats,2024-01-18,WikiTeam,published,gacha-pull-strategy|character-tier-list,Team Building Fundamentals,チーム編成の基礎,队伍组建基础,隊伍組建基礎,팀 빌딩 기초,How to build effective teams for different match types,様々なマッチタイプに効果的なチームを編成する方法,team-building
4,gacha-pull-strategy,gacha-strategy.md,8 min,https://images.unsplash.com/photo-1514897575457-c4db467cf78e?q=80&w=800&auto=format&fit=crop,Gacha|Probability|Planning,2024-01-22,WikiTeam,published,v-stone-economy-guide|team-building-fundamentals,Gacha Pull Strategy,ガチャ戦略,扭蛋策略,扭蛋策略,가챠 전략,When to pull and when to save for maximum SSR rates,SSR率を最大化するためにいつ引くべきか、いつ貯めるべきか,economy
5,advanced-match-techniques,match-mechanics.md,25 min,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Mechanics|Gameplay|Skills,2024-01-25,WikiTeam,published,team-building-fundamentals|character-tier-list,Advanced Match Techniques,上級マッチテクニック,高级比赛技巧,高級比賽技巧,고급 매치 테크닉,Deep dive into hidden mechanics and advanced gameplay techniques,隠されたメカニクスと上級ゲームプレイテクニックの深掘り,advanced
6,character-tier-list,tier-list.md,5 min,https://images.unsplash.com/photo-1534528741775-53994a69daeb?q=80&w=800&auto=format&fit=crop,Characters|Ranking|Meta,2024-01-28,WikiTeam,published,team-building-fundamentals|advanced-match-techniques,Character Tier List (Jan 2024),キャラクターティアリスト (2024年1月),角色强度榜 (2024年1月),角色強度榜 (2024年1月),캐릭터 티어 리스트 (2024년 1월),Current meta ranking for all characters in different roles,各役割における全キャラクターの現在のメタランキング,characters
7,vietnamese-complete-guide,vietnamese-test-guide.md,15 min,https://images.unsplash.com/photo-1467810563316-b5476525c0f9?w=800&auto=format&fit=crop,Basics|Vietnamese|Testing,2024-11-30,WikiTeam,published,complete-beginners-guide|v-stone-economy-guide,Vietnamese Complete Guide,ベトナム語完全ガイド,越南语完整指南,越南語完整指南,베트남어 완전 가이드,Hướng dẫn toàn diện bằng tiếng Việt để test markdown rendering với ký tự có dấu,ベトナム語のマークダウンレンダリングをテストするための包括的なガイド,beginner
8,pdf-research-guide,2508.16279v1.pdf,10 min,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800&auto=format&fit=crop,PDF|Research|English,2024-12-18,WikiTeam,published,,PDF Research Document (English),PDF研究ドキュメント,PDF研究文档,PDF研究文檔,PDF 연구 문서,Research paper in PDF format - English language document viewer test,英語のPDF形式の研究論文 - ドキュメントビューアーテスト,advanced
9,pdf-vietnamese-guide,2508.16279v1.pdf,12 min,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800&auto=format&fit=crop,PDF|Vietnamese|Guide,2024-12-18,WikiTeam,published,vietnamese-complete-guide,Hướng Dẫn PDF Tiếng Việt,ベトナム語PDFガイド,越南语PDF指南,越南語PDF指南,베트남어 PDF 가이드,Tài liệu hướng dẫn định dạng PDF bằng tiếng Việt,ベトナム語のPDF形式のガイドドキュメント,beginner
10,hybrid-guide-md-pdf,economy-guide.md|2508.16279v1.pdf,18 min,https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=800&auto=format&fit=crop,Economy|Hybrid|Advanced,2024-12-18,WikiTeam,published,v-stone-economy-guide,Economy Deep Dive (MD + PDF),経済詳細ガイド (MD + PDF),经济深度指南 (MD + PDF),經濟深度指南 (MD + PDF),경제 심층 가이드 (MD + PDF),Comprehensive economy guide with markdown content and supplementary PDF charts,マークダウンコンテンツと補足PDFチャートを含む包括的な経済ガイド,economy
