id,unique_key,title,summary,category,tags,type,event_id,image,objectives,rewards,requirements,updated_at,author,status,related_ids,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp
1,daily-login-mission,Daily Login Mission,Log in to the game daily,Mission,mission|daily|login,Daily,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Log in to the game,100 V-Stones|1 Stamina Drink,,2024-01-15,WikiTeam,published,,Daily Login Mission,デイリーログインミッション,每日登录任务,每日登錄任務,데일리 로그인 미션,Log in to the game daily to receive rewards,毎日ゲームにログインして報酬を受け取ろう
2,daily-volleyball-match,Daily Volleyball Match,Complete one volleyball match,Mission,mission|daily|match,Daily,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Complete 1 volleyball match,50 V-Stones|500 EXP,,2024-01-15,WikiTeam,published,,Daily Volleyball Match,デイリーバレーボールマッチ,每日排球比赛,每日排球比賽,데일리 발리볼 매치,Complete one volleyball match to earn daily rewards,バレーボールの試合を1回クリアしてデイリー報酬を獲得
3,daily-photo-session,Daily Photo Session,Take a photo in photo mode,Mission,mission|daily|photo,Daily,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Take 1 photo in photo mode,30 V-Stones|1 Photo Frame,,2024-01-15,WikiTeam,published,,Daily Photo Session,デイリーフォトセッション,每日拍照任务,每日拍照任務,데일리 포토 세션,Take a photo in photo mode to capture memories,フォトモードで写真を撮って思い出を残そう
4,weekly-tournament-entry,Weekly Tournament Entry,Participate in weekly tournament,Mission,mission|weekly|tournament,Weekly,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Enter 3 tournament matches|Win 1 tournament match,500 V-Stones|1 SR Ticket,,2024-01-15,WikiTeam,published,,Weekly Tournament Entry,ウィークリートーナメントエントリー,每周锦标赛参赛,每週錦標賽參賽,위클리 토너먼트 엔트리,Participate in the weekly tournament for special rewards,ウィークリートーナメントに参加して特別報酬を獲得
5,weekly-gacha-pull,Weekly Gacha Pull,Perform gacha pulls this week,Mission,mission|weekly|gacha,Weekly,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Perform 10 gacha pulls,200 V-Stones|1 Gacha Ticket,,2024-01-15,WikiTeam,published,,Weekly Gacha Pull,ウィークリーガチャプル,每周扭蛋抽奖,每週扭蛋抽獎,위클리 가챠 풀,Perform gacha pulls this week to earn bonus rewards,今週ガチャを引いてボーナス報酬を獲得
6,owner-room-visit,Owner Room Visit,Visit owner room and interact with girls,Mission,mission|owner|room,Owner,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Visit owner room 5 times|Give 3 gifts,300 V-Stones|1 Gift Box,,2024-01-15,WikiTeam,published,,Owner Room Visit,オーナールーム訪問,主人房间访问,主人房間訪問,오너 룸 방문,Visit the owner room and interact with your favorite girls,オーナールームを訪れてお気に入りの女の子と交流しよう
7,ocean-adventure-event,Ocean Adventure Event,Complete ocean adventure missions,Mission,mission|event|ocean,Event,ocean-adventure-festival,https://images.unsplash.com/photo-1544005313-94ddf0286df2?q=80&w=800&auto=format&fit=crop,Complete 5 surfing challenges|Win 3 diving competitions|Collect 80 wave tokens,700 V-Stones|Surfboard Accessory|Ocean Badge,Reach player level 15,2024-02-01,WikiTeam,published,ocean-adventure-festival,Ocean Adventure Event,オーシャンアドベンチャーイベント,海洋冒险活动,海洋冒險活動,오션 어드벤처 이벤트,Complete ocean adventure missions for exclusive rewards,オーシャンアドベンチャーミッションをクリアして限定報酬を獲得
8,stargazing-event,Stargazing Event,Complete stargazing missions,Mission,mission|event|night,Event,stargazing-celebration,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?q=80&w=800&auto=format&fit=crop,Observe 5 constellations|Take 3 night photos|Complete night matches,600 V-Stones|Telescope Accessory|Star Badge,Reach player level 12,2024-02-10,WikiTeam,published,stargazing-celebration,Stargazing Event,スタガジングイベント,观星活动,觀星活動,스타게이징 이벤트,Complete stargazing missions under the night sky,夜空の下でスタガジングミッションをクリア
9,sakura-blossom-event,Sakura Blossom Event,Complete sakura festival missions,Mission,mission|event|spring,Event,sakura-blossom-festival,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,View 10 cherry blossoms|Complete flower arranging|Win spring matches,650 V-Stones|Flower Accessory|Blossom Badge,Reach player level 10,2024-03-01,WikiTeam,published,sakura-blossom-festival,Sakura Blossom Event,桜咲くイベント,樱花盛开活动,櫻花盛開活動,사쿠라 블라썸 이벤트,Complete sakura festival missions to celebrate spring,桜祭りミッションをクリアして春を祝おう
10,daily-gift-giving,Daily Gift Giving,Give gifts to characters daily,Mission,mission|daily|gift,Daily,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Give 1 gift to any character,25 V-Stones|Affection Points,,2024-01-15,WikiTeam,published,,Daily Gift Giving,デイリーギフトギビング,每日送礼,每日送禮,데일리 기프트 기빙,Give gifts to your favorite characters daily,毎日お気に入りのキャラクターにギフトを贈ろう
11,weekly-ranking-climb,Weekly Ranking Climb,Climb the weekly rankings,Mission,mission|weekly|ranking,Weekly,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Reach top 500 in weekly ranking|Win 10 ranked matches,400 V-Stones|Ranking Badge,,2024-01-15,WikiTeam,published,,Weekly Ranking Climb,ウィークリーランキングクライム,每周排名攀升,每週排名攀升,위클리 랭킹 클라임,Climb the weekly rankings to earn exclusive rewards,ウィークリーランキングを上げて限定報酬を獲得
12,mystic-magic-event,Mystic Magic Event,Complete magic tournament missions,Mission,mission|event|magic,Event,mystic-magic-tournament,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?q=80&w=800&auto=format&fit=crop,Cast 20 spells|Win 5 magic duels|Collect 60 magic orbs,750 V-Stones|Magic Wand|Wizard Badge,Reach player level 18,2024-03-10,WikiTeam,published,mystic-magic-tournament,Mystic Magic Event,ミスティックマジックイベント,神秘魔法活动,神秘魔法活動,미스틱 매직 이벤트,Complete magic tournament missions for mystical rewards,マジックトーナメントミッションをクリアして神秘的な報酬を獲得
