id,unique_key,name_en,name_jp,name_cn,name_tw,name_kr,type,episode_status,release_version,release_date,image,character_ids,description_en,description_jp,tags,updated_at,author,status
1,misaki-character-ep1,Misaki Character Episode 1,みさき キャラクターエピソード1,美咲 角色剧情1,美咲 角色劇情1,미사키 캐릭터 에피소드 1,Character,Available,1.0.0,2017-11-21,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800,misaki,Get to know Misaki better in this heartwarming character episode. Discover her dreams and aspirations.,みさきをもっとよく知る心温まるキャラクターエピソード。彼女の夢と願望を発見しましょう。,Character|Misaki,2024-01-15,System,published
2,marie-rose-character-ep1,Marie Rose Character Episode 1,マリー・ローズ キャラクターエピソード1,玛丽·罗斯 角色剧情1,瑪麗·羅斯 角色劇情1,마리 로즈 캐릭터 에피소드 1,Character,Available,1.0.0,2017-11-21,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,marie-rose,Experience Marie Rose's charming personality in this delightful episode full of surprises.,このサプライズいっぱいの楽しいエピソードでマリー・ローズの魅力的な性格を体験しましょう。,Character|Marie Rose,2024-01-15,System,published
3,honoka-character-ep1,Honoka Character Episode 1,ほのか キャラクターエピソード1,穗香 角色剧情1,穗香 角色劇情1,호노카 캐릭터 에피소드 1,Character,Available,1.1.0,2018-01-10,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800,honoka,Discover Honoka's boundless energy and positive attitude in this uplifting character story.,この元気が出るキャラクターストーリーでほのかの無限のエネルギーとポジティブな態度を発見しましょう。,Character|Honoka,2024-01-20,System,published
4,misaki-gravure-ep1,Misaki Gravure Episode 1,みさき グラビアエピソード1,美咲 写真剧情1,美咲 寫真劇情1,미사키 그라비아 에피소드 1,Gravure,Available,1.5.0,2018-03-01,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,misaki,A special gravure photoshoot episode featuring Misaki in stunning swimwear.,みさきが素敵な水着で登場する特別なグラビア撮影エピソード。,Gravure|Misaki|Photoshoot,2024-02-01,System,published
5,marie-rose-gravure-ep1,Marie Rose Gravure Episode 1,マリー・ローズ グラビアエピソード1,玛丽·罗斯 写真剧情1,瑪麗·羅斯 寫真劇情1,마리 로즈 그라비아 에피소드 1,Gravure,Available,1.5.0,2018-03-15,https://images.unsplash.com/photo-1518837695005-2083093ee35b?w=800,marie-rose,Marie Rose's exclusive gravure episode with beautiful beach scenery.,美しいビーチの景色とマリー・ローズの限定グラビアエピソード。,Gravure|Marie Rose|Beach,2024-02-10,System,published
6,summer-festival-event,Summer Festival Event Episode,夏祭りイベントエピソード,夏日祭典活动剧情,夏日祭典活動劇情,여름 축제 이벤트 에피소드,Event,Available,2.0.0,2018-07-15,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800,misaki|marie-rose|honoka,Join the girls at the exciting Summer Festival! Fireworks and fun await in this special event story.,エキサイティングな夏祭りで女の子たちと一緒に！花火と楽しみがこの特別なイベントストーリーで待っています。,Event|Summer|Festival,2024-02-20,System,published
7,christmas-event-2023,Christmas Event 2023,クリスマスイベント 2023,2023圣诞活动,2023聖誕活動,2023 크리스마스 이벤트,Event,Limited,5.0.0,2023-12-20,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?w=800,misaki|marie-rose|honoka|nyotengu,A magical Christmas celebration on Venus Islands! Limited time story with exclusive rewards.,ヴィーナスアイランドでの魔法のようなクリスマスのお祝い！限定報酬付きの期間限定ストーリー。,Event|Christmas|Limited,2024-01-05,System,published
8,nyotengu-character-ep1,Nyotengu Character Episode 1,女天狗 キャラクターエピソード1,女天狗 角色剧情1,女天狗 角色劇情1,뇨텐구 캐릭터 에피소드 1,Character,Available,2.5.0,2019-02-14,https://images.unsplash.com/photo-1518837695005-2083093ee35b?w=800,nyotengu,Uncover the mysteries surrounding Nyotengu's arrival at Venus Islands in this intriguing episode.,この興味深いエピソードで女天狗のヴィーナスアイランドへの到着を取り巻く謎を解き明かしましょう。,Character|Nyotengu,2024-02-10,System,published
9,misaki-extra-episode,Misaki Extra Episode,みさき エクストラエピソード,美咲 额外剧情,美咲 額外劇情,미사키 엑스트라 에피소드,Extra,Available,3.0.0,2020-06-01,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?w=800,misaki,Exclusive extra episode featuring Misaki in special scenarios and situations.,特別なシナリオと状況でみさきをフィーチャーした限定エクストラエピソード。,Extra|Misaki|Special,2024-03-01,System,published
10,marie-rose-bromide,Marie Rose Bromide Collection,マリー・ローズ ブロマイド,玛丽·罗斯 写真集,瑪麗·羅斯 寫真集,마리 로즈 브로마이드,Bromide,Available,3.5.0,2020-09-15,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=800,marie-rose,Beautiful bromide collection featuring Marie Rose in various poses and outfits.,様々なポーズと衣装のマリー・ローズをフィーチャーした美しいブロマイドコレクション。,Bromide|Marie Rose|Collection,2024-03-10,System,published
