id,unique_key,type,event_status,start_date,end_date,image,updated_at,author,status,related_ids,gacha_ids,episode_ids,mission_ids,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp,rewards_en,rewards_jp,how_to_participate_en,how_to_participate_jp,tips_en,tips_jp
1,summer-splash-festival,Main,Active,2024-01-20T00:00:00Z,2024-02-05T14:00:00Z,https://images.unsplash.com/photo-1519046904884-53103b34b206?q=80&w=800&auto=format&fit=crop,2024-01-20,WikiTeam,published,tropical-paradise-marie|event-farming-optimization,summer-paradise-nostalgia,summer-festival-event,,Summer Splash Festival,サマースプラッシュフェスティバル,夏日水花节,夏日水花節,서머 스플래시 페스티벌,The biggest summer event of the year featuring exclusive swimsuits,限定水着が登場する今年最大の夏イベント,SSR Ticket x1|5000 V-Stones|Limited Title|Exclusive Decobromide,SSRチケット×1|5000 Vストーン|限定称号|限定デコブロマイド,Complete daily festival missions|Participate in special volleyball matches|Collect festival tokens|Exchange tokens for rewards,デイリーミッションをクリア|特別マッチに参加|トークンを集める|報酬と交換,Focus on bonus missions for 2x points|Use festival-boosted characters,ボーナスミッションで2倍ポイント|ブーストキャラを使用
2,starry-night-gacha,Event,Active,2024-01-15T00:00:00Z,2024-02-01T18:00:00Z,https://images.unsplash.com/photo-1514897575457-c4db467cf78e?q=80&w=800&auto=format&fit=crop,2024-01-18,WikiTeam,published,starry-night-honoka|v-stone-economy-guide,starry-night-premium,,,Starry Night Gacha,スターリーナイトガチャ,星夜扭蛋,星夜扭蛋,스타리 나이트 가챠,Limited-time gacha featuring starry night themed swimsuits,星空テーマの水着が登場する期間限定ガチャ,New SSR Suits|Limited Accessories|Rare Materials,新SSR水着|限定アクセサリー|レア素材,Use V-Stones or tickets to pull|10 pulls guarantee SR|Pity at 100 pulls,Vストーンでガチャ|10連でSR確定|100連で天井,Save for guaranteed SSR at 100 pulls|Check featured character first,100連の確定SSRのために貯める|ピックアップキャラを確認
3,beach-volleyball-tournament,Event,Active,2024-01-20T00:00:00Z,2024-02-08T06:00:00Z,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,2024-01-22,WikiTeam,published,team-building-fundamentals|advanced-match-techniques,,,daily-volleyball-match,Beach Volleyball Tournament,ビーチバレートーナメント,沙滩排球锦标赛,沙灘排球錦標賽,비치 발리볼 토너먼트,Compete against other players in the ultimate beach volleyball tournament,究極のビーチバレートーナメントで他プレイヤーと競う,Exclusive Decobromide|3000 V-Stones|Tournament Trophy|Ranking Rewards,限定デコブロマイド|3000 Vストーン|トロフィー|ランキング報酬,Enter tournament matches|Win to earn ranking points|Climb tiers|Finals in last 3 days,トーナメントマッチに参加|勝利でポイント獲得|ティアを上げる|最終3日で決勝,Build balanced team with high stats|Counter opponent composition,高ステータスのバランスチーム|相手構成に対抗
4,paradise-photo-contest,Daily,Upcoming,2024-02-10T00:00:00Z,2024-02-15T00:00:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-25,WikiTeam,published,,,misaki-gravure-ep1|marie-rose-gravure-ep1,daily-photo-session,Paradise Photo Contest,パラダイスフォトコンテスト,天堂摄影大赛,天堂攝影大賽,파라다이스 포토 콘테스트,Capture the most beautiful moments on Venus Island,ヴィーナス島で最も美しい瞬間を撮影,SR Ticket x2|Photo Frames|2000 V-Stones,SRチケット×2|フォトフレーム|2000 Vストーン,Take photos with in-game camera|Submit best shots|Vote on photos|Top voted win,カメラで撮影|ベストショットを提出|投票|最多投票が受賞,Try different angles and lighting|Use scenic locations,様々な角度と照明を試す|絶景スポットで撮影
5,tengu-festival,Main,Active,2024-01-25T00:00:00Z,2024-02-10T23:59:00Z,https://images.unsplash.com/photo-1509631179647-0177331693ae?q=80&w=800&auto=format&fit=crop,2024-01-26,WikiTeam,published,celestial-wings-nyotengu|nyotengu,celestial-wings-gacha,nyotengu-character-ep1,,Tengu Festival,天狗祭り,天狗祭,天狗祭,텐구 페스티벌,Mystical festival celebrating Nyotengu with exclusive rewards,女天狗を祝う神秘的なフェスティバル,Celestial Wings SSR|4000 V-Stones|Tengu Mask|Festival Badge,天翼SSR|4000 Vストーン|天狗面|フェスティバルバッジ,Complete challenges|Collect tengu feathers|Exchange in shop|Boss battles,チャレンジクリア|天狗の羽を集める|ショップで交換|ボス戦,Nyotengu gets 50% stat boost|Complete daily missions|Boss resets every 6h,女天狗50%アップ|デイリー全クリア|ボス6時間リセット
6,championship-gacha,Event,Active,2024-01-26T00:00:00Z,2024-02-12T17:00:00Z,https://images.unsplash.com/photo-1551847677-dc82d764e1eb?q=80&w=800&auto=format&fit=crop,2024-01-27,WikiTeam,published,beach-queen-misaki|gacha-pull-strategy,championship-premium,misaki-character-ep1,,Championship Gacha,チャンピオンシップガチャ,冠军扭蛋,冠軍扭蛋,챔피언십 가챠,Premium gacha featuring championship-themed SSR swimsuits,チャンピオンシップSSR水着が登場するプレミアムガチャ,Championship SSR Suits|Gold Accessories|Awakening Materials,チャンピオンシップSSR|ゴールドアクセ|覚醒素材,Pull with V-Stones or tickets|SSR every 50 pulls|Step-up rates|First pull 1500,Vストーンでガチャ|50連SSR確定|ステップアップ|初回1500,Use step-up system|First-time bonus materials|Championship suits have team buffs,ステップアップ活用|初回ボーナス素材|チームバフ付き
7,lunar-new-year-event,Main,Ended,2024-01-28T00:00:00Z,2024-02-14T23:59:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-28,WikiTeam,published,dragon-dance-leifang|leifang,dragon-spirit-gacha,,,Lunar New Year Celebration,旧正月セレブレーション,农历新年庆典,農曆新年慶典,설날 축제,Celebrate the Lunar New Year with special missions and rewards,特別ミッションと報酬で旧正月を祝う,Dragon Dance SR|3500 V-Stones|Red Envelope Accessories|Lucky Coins,龍舞SR|3500 Vストーン|紅包アクセ|ラッキーコイン,Complete missions|Collect red envelopes|Play themed matches|Exchange coins,ミッションクリア|紅包を集める|テーママッチ|コイン交換,Leifang gets bonus|Red envelopes in co-op|Save coins for limited items,レイファンボーナス|協力で紅包アップ|限定アイテム用に貯める
8,sweet-festival,Main,Upcoming,2024-02-15T00:00:00Z,2024-02-20T00:00:00Z,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?q=80&w=800&auto=format&fit=crop,2024-01-29,WikiTeam,published,sweet-dreams-tamaki|tamaki,sweet-dreams-festival,,,Sweet Festival,スイートフェスティバル,甜蜜节,甜蜜節,스위트 페스티벌,A delightful festival celebrating all things sweet with Tamaki,たまきと一緒に甘いものを祝う楽しいフェスティバル,Sweet Dreams SSR|4500 V-Stones|Candy Accessories|Sweet Badge,スイートドリームSSR|4500 Vストーン|キャンディアクセ|スイートバッジ,Baking mini-games|Sweet challenges|Collect candy tokens|Trade for rewards,お菓子作りミニゲーム|スイートチャレンジ|キャンディトークン|報酬交換,Tamaki gets 40% boost|Mini-games refresh 4h|Collect all candy types,たまき40%アップ|ミニゲーム4時間リフレッシュ|全キャンディ収集
9,opera-gacha,Event,Upcoming,2024-02-20T00:00:00Z,2024-02-25T18:00:00Z,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=800&auto=format&fit=crop,2024-01-30,WikiTeam,published,opera-elegance-helena|helena,,,,Opera Elegance Gacha,オペラエレガンスガチャ,歌剧优雅扭蛋,歌劇優雅扭蛋,오페라 엘레강스 가챠,Sophisticated gacha featuring Helena's opera-themed swimsuits,エレナのオペラテーマ水着が登場する洗練されたガチャ,Opera Elegance SSR|Elegant Accessories|3000 V-Stones,オペラエレガンスSSR|エレガントアクセ|3000 Vストーン,Standard gacha|Pity at 100|Rate-up for Helena|Bonus on multi-pulls,通常ガチャ|100連天井|エレナ確率アップ|10連ボーナス,Opera suits for balanced teams|Helena synergizes with support|Wait for anniversary if F2P,バランスチーム向け|サポートと相性良好|無課金は周年待ち
10,moonlight-gacha,Event,Upcoming,2024-02-25T00:00:00Z,2024-03-01T23:59:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-31,WikiTeam,published,moonlight-kasumi|kasumi,moonlight-serenade,,,Moonlight Gacha,ムーンライトガチャ,月光扭蛋,月光扭蛋,문라이트 가챠,Enchanting moonlight-themed gacha with Kasumi's new SSR,かすみの新SSRが登場する月光テーマガチャ,Moonlight Serenade SSR|Moon Accessories|5000 V-Stones Bonus,月光セレナーデSSR|ムーンアクセ|5000 Vストーンボーナス,Limited-time gacha|Night-time bonus rates|Featured SSR at 80 pulls|Daily free pull,期間限定|夜間ボーナス|80連ピックアップ確定|毎日無料,Night matches give bonus points|Moonlight suits have healing|Best value this month,夜マッチでボーナス|月光水着は回復持ち|今月最もお得
